dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.432794,205.125487,0.017910,1.791045,89.552239,4477.611940,0.000207
0.020000,30.432794,205.125487,0.071642,3.582090,89.552239,0.000000,0.000047
0.020000,30.506438,205.125479,0.161194,5.373134,89.552239,-0.000000,6.282966
0.020000,30.631812,205.125428,0.286567,7.164179,89.552239,0.000000,6.282595
0.020000,30.793006,205.125294,0.447761,8.955224,89.552239,-0.000000,6.282120
0.020000,30.990020,205.125028,0.644776,10.746269,89.552239,0.000000,6.281542
0.020000,31.222856,205.124566,0.877612,12.537313,89.552239,0.000000,6.280865
0.020000,31.491511,205.123838,1.146269,14.328358,89.552239,0.000000,6.280090
0.020000,31.795987,205.122764,1.450746,16.119403,89.552239,-0.000000,6.279221
0.020000,32.136282,205.121251,1.791045,17.910448,89.552239,0.000000,6.278260
0.020000,32.512396,205.119200,2.167164,19.701493,89.552239,0.000000,6.277212
0.020000,32.924327,205.116506,2.579104,21.492537,89.552239,-0.000000,6.276079
0.020000,33.372075,205.113052,3.026866,23.283582,89.552239,0.000000,6.274868
0.020000,33.855638,205.108718,3.510448,25.074627,89.552239,-0.000000,6.273582
0.020000,34.375013,205.103377,4.029851,26.865672,89.552239,0.000000,6.272227
0.020000,34.930199,205.096898,4.585075,28.656716,89.552239,-0.000000,6.270808
0.020000,35.521193,205.089145,5.176119,30.447761,89.552239,0.000000,6.269332
0.020000,36.147992,205.079980,5.802985,32.238806,89.552239,-0.000000,6.267804
0.020000,36.810592,205.069264,6.465672,34.029851,89.552239,0.000000,6.266232
0.020000,37.508989,205.056857,7.164179,35.820896,89.552239,-0.000000,6.264622
0.020000,38.243179,205.042621,7.898507,37.611940,89.552239,0.000000,6.262981
0.020000,39.013158,205.026418,8.668657,39.402985,89.552239,0.000000,6.261319
0.020000,39.818920,205.008116,9.474627,41.194030,89.552239,-0.000000,6.259643
0.020000,40.660461,204.987588,10.316418,42.985075,89.552239,0.000000,6.257962
0.020000,41.537774,204.964713,11.194030,44.776119,89.552239,0.000000,6.256284
0.020000,42.450856,204.939378,12.107463,46.567164,89.552239,0.000000,6.254620
0.020000,43.399699,204.911480,13.056716,48.358209,89.552239,-0.000000,6.252979
0.020000,44.384300,204.880929,14.041791,50.149254,89.552239,0.000000,6.251370
0.020000,45.404653,204.847648,15.062687,51.940299,89.552239,0.000000,6.249806
0.020000,46.460753,204.811574,16.119403,53.731343,89.552239,0.000000,6.248296
0.020000,47.552597,204.772664,17.211940,55.522388,89.552239,-0.000000,6.246851
0.020000,48.680182,204.730893,18.340299,57.313433,89.552239,0.000000,6.245484
